"move","height","damage","startup","stance","guard","hit",buffer
"ws3,3","mid",26,19,"no",-4,kd
"ws3,d3","low",19,0,"no",-12,jg
"ws1+2","mid",24,20,"no",-8,kd
"ws1+2","mid",33,39,"no",0,kd
"fc+df1+2","low","12,19",23,"no",-10,5
"fc+df1+2,1+2","low","12,19",23,"no",-10,5
"ss4","low",18,24,"no",-12,-1
"ss4,1+2","mid","18,6,6,6,6",24,"no",-10,1
"bt 4","mid",24,17,"yes",-2,kd
"1+2+3","mid",,"air","no",,
"1+2+4","mid",,"()","no",,
"1+2+3+4","mid",,"air","no",,
"1+2+3+4,1+2","mid",,"air","no",,
"db1","mid",,"rc","no",,
"db1~1","high",37,14,"no",4,kd
"db1~2","ub","30(,3)",63,"no",kd,kd
"db1~3","mid",36,26,"no",-7,kd
"db1~4","mid",36,19,"no",-9,kd
"sbt 1","mid",14,13,"yes",-15,0
"sbt 1,2","mid","14,15",13,"yes",-9,-4
"sbt 1,2,1","mid","14,15,8",13,"yes",-20,-12
"sbt 1,2,1,3+4","mid","14,15,8,6,30?",13,"yes",-18,kd
"sbt 1,2,1,3+4,1+2","mid","14,15,8,6,30?",13,"yes",-18,kd
"sbt 2","high",42,16,"yes",4,kd
"sbt 2,1+2","high",42,16,"yes",4,kd
"sbt 3","low",20,18,"yes",-13,"+3"
"sbt 4","mid","26(,5)",19,"yes",-26,jg
"des 1","mid","3,3,3,3,3,24",14,"yes",-9,"cs"
"des 2","mid","4,4,4,4,4,4,4",20,"yes",-2,jg
"des 1+2","high","8,8,24",16,"yes",0,kd
"des f1","high","3,3,3,3,3,3,3,3",12,"yes",0,11
"des f2","high","3,3,2,2",10,"yes",,kd
"des f1+2","mid","3,3,3,3,3,3,3,15",23,"yes",3,"cs"
"des f1+2,1+2","mid","3,3,3,3,3,24(,3)",23,"yes",-43,jg
"des d1","low","3,3,3,3,3",20,"yes",-12,-2
"des d2","low","6,6,6,6",30,"yes",-13,"+2"
"des b2","mid",20,18,"yes",-12,0
"des b2,1","mid","20,9,6,6,6,6,6,6",18,"yes",-9,kd
"des db / u / df1+2","mid","10,10,10",29,"yes",-12,kd
"des df1+2,1+2","mid","10,10,10",29,"yes",-12,kd
"des bt 1 / 2","mid","4,4,4,4,4,4",19,"yes",-16,kd
"dbt 1","high","6,6,6,6,6",24,"yes",9,10
"dbt 2","high","9,9,9,24,30",17,"yes",-14,kd
"dbt 2,1+2","high","9,9,9,24,30",17,"yes",-14,kd
"dbt 2,1","high","9,9,9,24,30",17,"yes",-11,kd
"dbt 2,1,1+2","high","9,9,9,24,30",17,"yes",-11,kd
"dbt 1+2","mid","6,6,6,24",12,"yes",-5,kd
